$8.50 | 1.65%
$7.00 | 1.31%
$10.50 | 2.20%
$31.87 | 6.02%
$33.00 | 5.82%
$13.77 | 2.66%
$16.87 | 3.10%
$13.22 | 2.60%
$11.71 | 2.04%
$18.36 | 4.39%
$21.00 | 3.89%
$13.50 | 2.78%
$12.50 | 2.42%
$11.00 | 1.99%
$17.00 | 3.17%
$10.67 | 3.00%
$14.00 | 2.39%
$28.00 | 4.63%
$16.73 | 3.01%
$12.73 | 2.14%
$14.71 | 2.51%
$11.90 | 2.40%
$12.77 | 2.47%
$14.77 | 2.86%
$11.77 | 2.12%
$11.00 | 2.25%
$26.87 | 5.03%
$21.87 | 4.06%
$12.87 | 2.28%
$11.12 | 1.91%
$39.00 | 6.95%
$30.71 | 5.53%
$25.71 | 4.46%
$30.02 | 5.23%
$27.73 | 5.09%
$22.87 | 4.25%
$21.00 | 3.60%
$13.00 | 3.88%
$9.00 | 2.65%
$7.00 | 2.05%
$10.50 | 2.04%
$11.00 | 3.26%
$14.43 | 3.06%
$21.00 | 3.40%
$20.16 | 4.41%
$23.00 | 4.24%
$17.00 | 2.91%
$189.00 | 31.66%
$186.00 | 31.16%
$176.00 | 29.88%
$174.00 | 29.59%
$167.00 | 28.64%
$13.00 | 2.39%
$11.22 | 2.20%
$13.00 | 2.67%
$23.73 | 4.32%
$15.00 | 2.86%
$11.00 | 2.08%
$13.24 | 2.45%
$11.27 | 2.00%
